"Device: BTH-1208LS"
"Serial Number: 1CA5AEE"
"Channel Count: 2"
"Sample Count: 16674"
"Start Time: 03/08/2018 3:31:58.246 PM"
"Scan Rate: 500"
"Sample","Date/Time","Position (V)","Température (V)"
"331","03/08/2018 3:31:58.908 PM","3.168498460436240","-0.005128145858180"
"332","03/08/2018 3:31:58.910 PM","3.280830576783050","-0.005128145858180"
"333","03/08/2018 3:31:58.912 PM","3.305250602075830","-0.005616546375677"
"334","03/08/2018 3:31:58.914 PM","3.271062566665930","-0.005616546375677"
"335","03/08/2018 3:31:58.916 PM","3.229548523668200","-0.004151344823185"
"336","03/08/2018 3:31:58.918 PM","3.180708473082630","-0.003662944305688"
"337","03/08/2018 3:31:58.920 PM","3.263736559078100","-0.005128145858180"
"338","03/08/2018 3:31:58.922 PM","3.312576609663670","-0.005616546375677"
"339","03/08/2018 3:31:58.924 PM","3.293040589429440","-0.006593347410671"
"340","03/08/2018 3:31:58.926 PM","3.263736559078100","-0.006593347410671"
"341","03/08/2018 3:31:58.928 PM","3.214896508492530","-0.005128145858180"
"342","03/08/2018 3:31:58.930 PM","3.173382465494800","-0.004151344823185"
"343","03/08/2018 3:31:58.932 PM","3.290598586900160","-0.005616546375677"
